cur_glucose_levels,glucose_levels_lag_1,glucose_levels_lag_2,glucose_levels_lag_3,glucose_levels_lag_4,glucose_levels_lag_5,glucose_mean_levels_lag_1_2,glucose_mean_levels_lag_1_3,glucose_mean_levels_lag_1_4,rolling_mean_2,rolling_mean_3,rolling_mean_5,rolling_mean_10,rolling_std_1,rolling_std_2,rolling_std_3,rolling_std_5,rolling_std_10,rolling_max_2,rolling_min_2,rolling_max_3,rolling_min_3,rolling_max_5,rolling_min_5,rolling_max_10,rolling_min_10,diff_1,diff_4,minute_of_day,hour_of_day,hour_sin,hour_cos,day_period_afternoon,day_period_evening,day_period_morning,day_period_night,day_of_week_0
149.02056200436058,149.0204738408461,149.02039439740463,149.02032357583937,149.02026119780598,149.02020700168708,149.02043411912535,149.02039870834273,149.02036751932604,149.02051792260335,149.02047674753712,149.02040300325135,149.02026578275246,,6.234101904091287e-05,8.384127594256396e-05,0.0001191541819848388,0.0001693179521016791,149.02056200436058,149.0204738408461,149.02056200436058,149.02039439740463,149.02056200436058,149.02026119780598,149.02056200436058,149.02006386209322,8.81635144764914e-05,0.000300806554605515,105,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.02065891032643,149.02056200436058,149.0204738408461,149.02039439740463,149.02032357583937,149.02026119780598,149.02051792260335,149.02047820088262,149.0204427901,149.0206104573435,149.02056491851104,149.02048254575544,149.0203252875758,,6.852286568028122e-05,9.25691489213998e-05,0.00013279257630863388,0.0001933293726517957,149.02065891032643,149.02056200436058,149.02065891032643,149.0204738408461,149.02065891032643,149.02032357583937,149.02065891032643,149.02008962139553,9.690596584732702e-05,0.00033533448706180025,110,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.0207645105141,149.02065891032643,149.02056200436058,149.0204738408461,149.02039439740463,149.02032357583937,149.0206104573435,149.02056637558627,149.02052665386555,149.02071171042027,149.02066180840038,149.02057073269037,149.02039277648765,,7.467060888804245e-05,0.00010128417778277005,0.00014652942257546044,0.00021812761957704067,149.0207645105141,149.02065891032643,149.0207645105141,149.02056200436058,149.0207645105141,149.02039439740463,149.0207645105141,149.02012168504984,0.00010560018768046575,0.00037011310948287246,115,1,0.25881904510252074,0.9659258262890683,False,False,False,True,True
149.02087869190046,149.0207645105141,149.02065891032643,149.02056200436058,149.0204738408461,149.02039439740463,149.02071171042027,149.02066325743735,149.0206191756801,149.02082160120727,149.02076737091366,149.02066759158953,149.0204684771727,,8.073843266253118e-05,0.0001099187039429922,0.00016024980267419177,0.00024347808694478114,149.02087869190046,149.0207645105141,149.02087869190046,149.02065891032643,149.02087869190046,149.0204738408461,149.02087869190046,149.0201606410423,0.00011418138635121977,0.00040485105435550395,120,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.0210012828528,149.02087869190046,149.0207645105141,149.02065891032643,149.02056200436058,149.0204738408461,149.02082160120727,149.02076880111343,149.0207203481305,149.02093998737664,149.02088149508913,149.02077307999087,149.02055254135377,,8.668489384575781e-05,0.00011841105728161974,0.00017384726880964095,0.000269151992089689,149.0210012828528,149.02087869190046,149.0210012828528,149.0207645105141,149.0210012828528,149.02056200436058,149.0210012828528,149.02020700168708,0.00012259095234412598,0.00043927849222313853,125,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.0211320594902,149.0210012828528,149.02087869190046,149.0207645105141,149.02065891032643,149.02056200436058,149.02093998737664,149.02088289668347,149.02083009658963,149.02106667117152,149.02100401141448,149.02088709101682,149.02064504713408,,9.247304734100005e-05,0.0001267058312128869,0.00018722465149677628,0.00029493041908424885,149.0211320594902,149.0210012828528,149.0211320594902,149.02087869190046,149.0211320594902,149.02065891032643,149.0211320594902,149.02026119780598,0.00013077663740546086,0.00047314916378127236,130,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.02127075206343,149.0211320594902,149.0210012828528,149.02087869190046,149.0207645105141,149.02065891032643,149.02106667117152,149.02100537569532,149.02094828500216,149.02120140577682,149.02113469813548,149.02100945936422,149.0207460025598,,9.807045934744202e-05,0.0001347539821118023,0.00020029452655328568,0.0003206073994011648,149.02127075206343,149.0211320594902,149.02127075206343,149.0210012828528,149.02127075206343,149.0207645105141,149.02127075206343,149.02032357583937,0.00013869257321630357,0.0005062415493171102,135,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.02141705122872,149.02127075206343,149.0211320594902,149.0210012828528,149.02087869190046,149.0207645105141,149.02120140577682,149.0211360174581,149.02107472198196,149.02134390164608,149.0212732875941,149.02113996750714,149.02085535009877,,0.00010344913232715824,0.00014251278690990092,0.0002129794012537291,0.00034599214507697413,149.02141705122872,149.02127075206343,149.02141705122872,149.0211320594902,149.02141705122872,149.02087869190046,149.02141705122872,149.02039439740463,0.00014629916529429465,0.0005383593282601851,140,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.0215706141168,149.02141705122872,149.02127075206343,149.0211320594902,149.0210012828528,149.02087869190046,149.02134390164608,149.02127455535947,149.02120916704075,149.02149383267277,149.02141947246966,149.0212783519504,149.02097297176996,,0.00010858536008561995,0.00014994568872273757,0.00022521167291659252,0.00037091055135035265,149.0215706141168,149.02141705122872,149.0215706141168,149.02127075206343,149.0215706141168,149.0210012828528,149.0215706141168,149.0204738408461,0.00015356288807311103,0.0005693312639891701,145,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
149.02173107012322,149.0215706141168,149.02141705122872,149.02127075206343,149.0211320594902,149.0210012828528,149.02149383267277,149.02142068309013,149.0213513368035,149.02165084212,149.02157291182291,149.0214243094045,149.02109869469768,,0.00011345953089943844,0.00015702205617736383,0.000236933407096145,0.0003952060815988358,149.02173107012322,149.0215706141168,149.02173107012322,149.02141705122872,149.02173107012322,149.0211320594902,149.02173107012322,149.02056200436058,0.000160456006426557,0.0005990106330102662,150,2,0.49999999999999994,0.8660254037844387,False,False,False,True,True
