BG,CHO,INS
52.01033213512934,0.0,5.96
51.97886655960937,0.0,5.96
51.95163871499456,0.0,5.96
51.92857571049322,0.0,5.96
51.909605619585314,0.0,5.96
51.894657467409914,0.0,5.96
51.8836612182435,0.0,5.96
51.87654776307532,0.0,5.96
51.873248907285834,0.0,5.96
51.87369735843385,0.0,5.96
51.87782671415741,0.0,5.96
51.88557145019334,0.0,5.96
51.89686690851973,0.0,5.96
51.91164928562529,0.0,5.96
51.92985562090933,0.0,5.96
51.95142378521559,0.0,5.96
51.97629246950276,0.0,5.96
52.004401173654486,0.0,5.96
52.03569019543084,0.0,5.96
52.07010061956353,0.0,5.96
52.107574306996405,0.0,5.96
52.148053884272606,0.0,5.96
52.19148273306964,0.0,5.96
52.23780497988327,0.0,5.96
52.286965485860705,0.0,5.96
52.33890983678379,0.0,5.96
52.393584333202284,0.0,5.96
52.450935980717226,0.0,5.96
52.510912480414405,0.0,5.96
52.57346221944739,0.0,5.96
52.63853426176979,0.0,5.96
52.706078339016024,0.0,5.96
52.77604484152981,0.0,5.96
52.84838480953954,0.0,5.96
52.92304992447931,0.0,5.96
52.999992500454624,0.0,5.96
53.07916547585144,0.0,5.96
53.16052240508705,0.0,5.96
53.24401745050161,0.0,5.96
53.329605374388514,0.0,5.96
53.41724153116219,0.0,5.96
53.506881859661426,0.0,5.96
53.59848287558666,0.0,5.96
53.6920016640694,0.0,5.96
53.787395872371725,0.0,5.96
53.88462370271427,0.0,5.96
53.98364390523052,0.0,5.96
54.0844157710454,0.0,5.96
54.1868991254765,0.0,5.96
54.29105432135547,0.0,5.96
54.39684223246776,0.0,5.96
54.50422424710873,0.0,5.96
54.61316226175369,0.0,5.96
54.72361867484024,0.0,5.96
54.83555638066041,0.0,5.96
54.948938763360744,0.0,5.96
55.06372969104815,0.0,5.96
55.179893509999374,0.0,5.96
55.29739503897205,0.0,5.96
55.41619956361524,0.0,5.96
55.5362728309774,0.0,5.96
55.65758104410967,0.0,5.96
55.78009085676238,0.0,5.96
55.90376936817294,0.0,5.96
56.028584117942884,0.0,5.96
56.15450308100213,0.0,5.96
56.28149466265857,0.0,5.96
56.409527693730865,0.0,5.96
56.53857142576274,0.0,5.96
56.668595526316565,0.0,5.96
56.7995700743447,0.0,5.96
56.93146555563636,0.0,5.96
57.06425285833852,0.0,5.96
57.19790326854884,0.0,5.96
57.33238846597887,0.0,5.96
57.46768051968588,0.0,5.96
57.60375188387143,0.0,5.96
57.74057539374523,0.0,5.96
57.87812426145238,0.0,5.96
58.01637207206253,0.0,5.96
58.155292779619366,0.0,5.96
58.29486070324872,0.0,5.96
58.43505052332394,0.0,5.96
58.57583727768686,0.0,5.96
58.7171963579231,0.0,5.96
58.85910350569005,0.0,5.96
59.001534809096206,0.0,5.96
59.14446669913059,0.0,5.96
59.28787594614075,0.0,5.96
59.43173965635815,0.0,5.96
59.57603526846951,0.0,5.96
59.72074055023313,0.0,5.96
59.86583359513868,0.0,5.96
60.01129281910934,0.0,5.96
60.1570969572454,0.0,5.96
60.303225060607694,0.0,5.96
60.44965649304028,0.0,5.96
60.59637092803098,0.0,5.96
60.74334834560879,0.0,5.96
60.890569029277245,0.0,5.96
61.03801356298272,0.0,5.96
61.1856628281166,0.0,5.96
61.333498000550556,0.0,5.96
61.481500547703966,0.0,5.96
61.62965222564253,0.0,5.96
61.777935076207385,0.0,5.96
61.92633142417374,0.0,5.96
62.07482387443836,0.0,5.96
62.22339530923509,0.0,5.96
62.3720288853776,0.0,5.96
62.52070803152882,0.0,5.96
62.66941644549606,0.0,5.96
62.818138091551546,0.0,5.96
62.96685719777732,0.0,5.96
63.11555825343419,0.0,5.96
63.264226006353894,0.0,5.96
63.412845460354035,0.0,5.96
63.56140187267527,0.0,5.96
63.70988075143992,0.0,5.96
63.85826785313186,0.0,5.96
64.00654918009694,0.0,5.96
64.15471097806355,0.0,5.96
64.30273973368271,0.0,5.96
64.45062217208765,0.0,5.96
64.59834525447171,0.0,5.96
64.74589617568516,0.0,5.96
64.8932623618495,0.0,5.96
65.04043146798956,0.0,5.96
65.18739137568295,0.0,5.96
65.33413019072611,0.0,5.96
65.48063624081712,0.0,5.96
65.6268980732547,0.0,5.96
65.77290445265311,0.0,5.96
65.91864435867272,0.0,5.96
66.06410698376592,0.0,5.96
66.2092817309382,0.0,5.96
66.35415821152401,0.0,5.96
66.49872624297737,0.0,5.96
66.6429758466767,0.0,5.96
66.786897245744,0.0,5.96
66.93048086287799,0.0,5.96
67.0737173182009,0.0,5.96
67.21659742711914,0.0,5.96
67.35911219819712,0.0,5.96
67.50125283104464,0.0,5.96
67.64301071421713,0.0,5.96
67.78437742312919,0.0,5.96
67.92534471798066,0.0,5.96
68.0659045416958,0.0,5.96
68.20604901787469,0.0,5.96
68.34577044875745,0.0,5.96
68.4850613132007,0.0,5.96
68.62391426466647,0.0,5.96
68.76232212922315,0.0,5.96
68.90027790355876,0.0,5.96
69.03777475300619,0.0,5.96
69.17480600958055,0.0,5.96
69.3113651700283,0.0,5.96
69.44744589388836,0.0,5.96
69.58304200156513,0.0,5.96
69.71814747241315,0.0,5.96
69.85275644283351,0.0,5.96
69.98686320438213,0.0,5.96
70.12046220188948,0.0,5.96
70.25354803159217,0.0,5.96
70.38611543927597,0.0,5.96
70.51815931843045,0.0,5.96
70.64967470841538,12.589499034105435,1279.371666428049
70.78229882767435,0.0,5.96
70.92222558565328,0.0,5.96
71.07002920305686,0.0,5.96
71.22447048519403,0.0,5.96
71.38425929230462,0.0,5.96
71.54808288669804,0.0,5.96
71.71462887771877,0.0,5.96
71.88260362096972,0.0,5.96
72.05074681108697,0.0,5.96
72.21784289043372,0.0,5.96
72.38272979909637,0.0,5.96
72.54430550943162,0.0,5.96
72.70153271895644,0.0,5.96
72.85344201669366,0.0,5.96
72.9991337885502,0.0,5.96
73.13777908550206,0.0,5.96
73.26861964309175,0.0,5.96
73.39096721098818,0.0,5.96
73.50420232624981,0.0,5.96
73.60777264273779,0.0,5.96
73.70119091122916,0.0,5.96
73.78403268966134,0.0,5.96
73.85593385015923,0.0,5.96
73.91658793868812,0.0,5.96
73.96574343402946,0.0,5.96
74.00320094503205,0.0,5.96
74.02881037853052,0.0,5.96
74.04246810476188,0.0,5.96
74.04411414239551,0.0,5.96
74.03372938129188,0.0,5.96
74.01133285771152,0.0,5.96
73.97697909381691,0.0,5.96
